start_time,end_time,all_power,screen_power,screen_on_time,screen_off_time,screen_on_discharge,screen_off_discharge
1626618085686,1626618985371,4.337895711249757,0.0,0,899950,0,1
1626618985371,1626619885435,4.583717754604777,0.0,0,900020,0,0
1626619885435,1626620785525,4.527492453472178,0.0,0,900038,0,3
1626620785525,1626621685450,4.361131473366413,0.0,0,899941,0,1
1626621685450,1626622584367,4.0130381970177496,0.0,0,899004,0,0
1626622584367,1626623485387,4.582366617779826,0.0,0,900975,0,2
1626623485387,1626624385375,4.343086780624617,0.0,0,899985,0,2
1626624385375,1626625285397,4.113856634545527,0.0,0,900008,0,0
1626625285397,1626626185721,4.545706488633186,0.0,0,899989,0,4
1626626185721,1626627085401,4.0203792058791805,0.0,0,900012,0,0
1626627085401,1626627985369,4.315225932286467,0.0,0,899954,0,1
1626627985369,1626628885333,4.189402437360513,0.0,0,900023,0,2
1626628885333,1626629785359,4.293951415766742,0.0,0,899961,0,2
1626629785359,1626630685352,6.503563025888525,0.0,0,900017,0,1
1626630685352,1626631585316,3.976332700857938,0.0,0,899999,0,0
1626631585316,1626632485305,5.4396291506791385,0.0,0,899954,0,2
1626632485305,1626633385309,4.100946462439424,0.0,0,900010,0,3
1626633385309,1626634285572,4.305612006505498,0.0,0,900018,0,1
1626634285572,1626635185251,6.637435393582109,0.0,0,899928,0,1
1626635185251,1626636085338,4.68136993932535,0.0,0,900049,0,0
1626636085338,1626636985302,3.9621153464472627,0.0,0,899989,0,2
1626636985302,1626637631330,7.603752817062741,0.0,0,645974,0,3
1626637631330,1626638740153,8.97585710076055,0.0,359,1108544,0,3
1626638740153,1626639685312,5.192743614649316,0.0,5061,940061,0,1
1626639685312,1626640585235,4.295012273789553,0.0,0,899917,0,0
1626640585235,1626641485263,5.3309879293224185,0.0,0,900030,0,3
1626641485263,1626642385172,4.404028755120407,0.0,0,899974,0,0
1626642385172,1626643285270,4.0671061164564435,0.0,0,900025,0,2
1626643285270,1626644185548,4.765808264299039,0.0,0,900222,0,2
1626644185548,1626645085460,4.585444143390077,0.0,0,899746,0,1
1626645085460,1626645985222,4.470306875830829,0.0,0,899995,0,1
1626645985222,1626646885235,4.23984034933369,0.0,0,900011,0,0
1626646885235,1626647785183,4.3148566226475396,0.0,0,899960,0,1
1626647785183,1626648685251,4.464161763971333,0.0,0,900027,0,2
1626648685251,1626649585179,5.434925540018185,0.0,0,899965,0,0
1626649585179,1626650485167,4.254984977583035,0.0,0,899999,0,2
1626650485167,1626651385150,4.552664990310859,0.0,0,899965,0,3
1626651385150,1626652285162,3.9697746188905967,0.0,0,900048,0,0
1626652285162,1626653185156,4.567986919845225,0.0,0,899950,0,2
1626653185156,1626654085164,3.9740110472268952,0.0,0,900012,0,1
1626654085164,1626654986115,5.380214240420173,0.0,0,900966,0,1
1626654986115,1626655885127,4.299486928408442,0.0,0,899001,0,1
1626655885127,1626656785043,4.42355412676352,0.0,0,899947,0,2
1626656785043,1626657685369,4.099653024567942,0.0,0,900074,0,1
1626657685369,1626658585073,4.368494632346028,0.0,0,899940,0,0
1626658585073,1626659485154,13.678096232716143,0.0,0,900061,0,3
1626659485154,1626660385068,4.773193981209033,0.0,0,899938,0,2
1626660385068,1626661285087,4.324918489019183,0.0,0,900011,0,2
1626661285087,1626662185305,4.308820650116331,0.0,0,899976,0,2
1626662185305,1626663085051,5.014534320582015,0.0,0,899974,0,1
1626663085051,1626663985302,4.167691171971455,0.0,0,899982,0,1
1626663985302,1626664885082,4.665927783717052,0.0,0,900032,0,1
1626664885082,1626665784966,4.16850312420047,0.0,0,899981,0,0
1626665784966,1626666685311,4.701619379115073,0.0,0,900018,0,2
1626666685311,1626667585258,4.085984118431952,0.0,0,899958,0,2
1626667585258,1626668486288,4.811571400091225,0.0,0,901010,0,2
1626668486288,1626669384970,4.03756183890232,0.0,0,898956,0,0
1626669384970,1626670285011,7.091051917867389,0.0,0,900027,0,3
1626670285011,1626671185222,4.28642446943104,0.0,0,899938,0,1
1626671185222,1626672085977,4.322228921566193,0.0,0,901034,0,1
1626672085977,1626672985992,4.104219622446635,0.0,0,900015,0,2
1626672985992,1626673885041,4.637291962784957,0.0,0,899040,0,1
1626673885041,1626674784883,5.2269931186092435,0.0,0,899882,0,2
1626674784883,1626675685004,4.41217765908732,0.0,0,900040,0,0
1626675685004,1626676584918,4.413147148068674,0.0,0,899965,0,1
1626676584918,1626677484944,4.345528984860493,0.0,0,900050,0,1
1626677484944,1626678384849,4.4226538955640535,0.0,0,899924,0,2
1626678384849,1626679284890,4.0122406116374805,0.0,0,900010,0,1
1626679284890,1626679914037,3.7669635170939273,0.0,0,629057,0,1
1626679914037,1626681085915,13.239429267569221,0.0,0,1171982,0,4
1626681085915,1626681984845,4.684620898197181,0.0,0,898921,0,0
1626681984845,1626682885836,4.346236177285846,0.0,0,900994,0,3
1626682885836,1626683785870,4.726194592700267,0.0,0,900045,0,1
1626683785870,1626684684778,4.3347132962369415,0.0,0,898916,0,0
1626684684778,1626685585848,7.090416218838982,0.0,0,901051,0,3
1626685585848,1626686485045,4.300184977274057,0.0,0,898966,0,0
1626686485045,1626687384717,4.430313570921953,0.0,0,899950,0,1
