policyname,packagename,mode
GLWL,com.marksandspencer.app,1
GLWL,com.rafotech.piggyboom,1
GLWL,com.garmin.android.apps.connectmobile,1
GLWL,com.healthengine.android,1
GLWL,com.thisisaim.abcradio,1
GLWL,com.kfcaus.ordering,1
GLWL,com.lasoo.android.target,1
GLWL,android.AbcApplication,1
GLWL,au.com.angryrobot.wikicamps,1
GLWL,com.stupeflix.replay,1
GLWL,com.jora.android,1
GLWL,org.mrchops.android.digihud,1
GLWL,com.smilingmind.app,1
GLWL,com.indianrail.thinkapps.irctc,1
GLWL,com.thinkyeah.galleryvault,1
GLWL,com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish,1
GLWL,com.wVihanApp,1
GLWL,all.latest.hindinews,1
GLWL,example.matharithmetics,1
GLWL,com.sbi.sbiquick,1
GLWL,com.icyarena.android.mehndidesign,1
GLWL,com.mobond.mindicator,1
GLWL,naukriApp.appModules.login,1
GLWL,com.hsas.wsed,1
GLWL,com.balloon.desideepika,1
GLWL,com.reljio.code.generator,1
GLWL,com.flayvr.flayvr,1
GLWL,in.AajTak.ATLite,1
GLWL,com.maxmpz.audioplayer,1
GLWL,com.tul.tatacliq,1
GLWL,com.dumplingsandwich.pencilsketch,1
GLWL,com.indiatravel.apps,1
GLWL,com.google.android.apps.books,1
GLWL,com.contact.calleridnumberlocator,1
GLWL,com.tru,1
GLWL,com.hkexpress.android,1
GLWL,org.whiteglow.keepmynotes,1
GLWL,com.simplywerx.compass2d,1
GLWL,tv.danmaku.bili,1
GLWL,imoblife.toolbox.full,1
GLWL,com.google.android.apps.m4b,1
GLWL,com.qiyi.video,1
GLWL,la.droid.qr.priva,1
GLWL,tsoiyatshing.hikingtrailhk,1
GLWL,com.asus.calculator,1
GLWL,com.MMBox,1
GLWL,com.chrome.beta,1
GLWL,net.audiko2.pro,1
GLWL,com.tudou.android,1
GLWL,com.xodo.pdf.reader,1
GLWL,bbc.mobile.news.ww,1
GLWL,com.eks.minibus,1
GLWL,com.honestbee.consumer,1
GLWL,com.shopback.app,1
GLWL,com.agus.sg.calendar,1
GLWL,com.redmart.redmart,1
GLWL,com.channelnewsasia,1
GLWL,es.excellentapps.fakegpsgo,1
GLWL,com.kokchoon.singaporetraffic,1
GLWL,com.suneoneapps.singaporemrtmap,1
GLWL,com.mediacorp.sg.channel8news,1
GLWL,com.tplusinteractive.checkpointsg,1
GLWL,sg.gov.weather.weatheratsg.production,1
GLWL,com.mcproteam.videoplayer,1
GLWL,com.kokchoon.sgcheckpoint,1
GLWL,com.jobstreet.jobstreet,1
GLWL,com.iqoption,1
GLWL,com.anydo,1
GLWL,com.cube.gdpc.nzl.hzd,1
GLWL,nz.co.nzsale,1
GLWL,nz.co.codebros.quakesnz,1
GLWL,com.grabone.mobile.production,1
GLWL,com.xaltimate.gemscoccalc,1
GLWL,com.google.android.apps.inbox,1
GLWL,tattoo.inkhunter,1
GLWL,com.lastpass.lpandroid,1
GLWL,com.splendapps.splendo,1
GLWL,nz.co.trademe.jobs,1
GLWL,com.cool.sms,1
GLWL,com.mapswithme.maps.pro,1
GLWL,nz.co.threenews,1
GLWL,com.twoheart.dailyhotel,1
GLWL,kr.co.lottecinema.lcm,1
GLWL,com.happyday.nametest2,1
GLWL,com.naver.synap.office,1
GLWL,com.vitalhint.haemukja,1
GLWL,com.astroframe.seoulbus,1
GLWL,com.kfmes.subway,1
GLWL,com.jtbc.news,1
GLWL,com.nhn.android.calendar,1
GLWL,com.makeshop.podbbang,1
GLWL,com.sktelecom.cookizwatch,1
GLWL,com.dencreak.spbook,1
