docid,size
2084589035,b'\x06\x06\x01\x02'
2086326778,b'\x07\x07\x02\x02'
2093228541,b'\x06\x05\x03\x03'
2094908208,b'\x07\x07\x04\x02'
2095244700,b'\x06\x06\x01\x03'
2101065848,b'\x05\x05\x02\x01'
2101485573,b'\x05\x05\x03\x02'
2101969700,b'\x05\x05\x03\x02'
2103511801,b'\x06\x06\x02\x02'
2104532982,b'\x06\x06\x03\x02'
2108103278,b'\x05\x05\x02\x03'
2112377883,b'\x07\x07\x02\x03'
2114382317,b'\x06\x06\x03\x02'
2119812480,b'\x06\x06\x02\x04'
2122452675,b'\x05\x05\x03\x02'
2123030205,b'\x05\x05\x03\x06'
2123250924,b'\x06\x06\x02\x02'
2124813779,b'\x07\x07\x02\x03'
2126411578,b'\x08\x08\x04\x02'
2128870749,b'\x07\x07\x02\x03'
2145262078,b'\x07\x07\x02\x02'
2145523271,b'\x05\x05\x03\x02'
2146826946,b'\x07\x07\x02\x04'
