RecordId,cname,concept_type,parent_concepts
370,viv.smartViewApp.Device,structure,
371,viv.smartViewApp.Device,structure,
372,viv.smartViewApp.CandidateAspectRatio,structure,
373,viv.smartViewApp.CandidateAspectRatio,structure,
374,viv.smartViewApp.DisconnectDeviceResult,structure,
375,viv.smartViewApp.LaunchActivityResult,structure,
376,bixby.settingsApp.HowToUseResult,text,
377,bixby.settingsApp.IntegerVal,integer,
378,bixby.settingsApp.NoActionResult,text,
379,bixby.settingsApp.ChangeSetting,structure,
380,bixby.settingsApp.SettingOnOff,structure,
381,bixby.settingsApp.Uri,text,
382,bixby.settingsApp.GetStatus,structure,
383,bixby.settingsApp.IntValue,integer,
384,bixby.settingsApp.Status,boolean,
385,bixby.settingsApp.AppResult,structure,
386,bixby.settingsApp.SetTurnResultCode,text,
387,bixby.settingsApp.SettingResult,structure,
388,bixby.settingsApp.JumpSettingAppName,enum,
389,bixby.settingsApp.SettingsName,enum,
390,bixby.settingsApp.JumpSettingApp,structure,
391,bixby.settingsApp.ResultStatus,boolean,
392,bixby.settingsApp.AppResultCode,text,
393,bixby.settingsApp.SettingName,enum,
394,bixby.settingsApp.TextString,text,
395,bixby.settingsApp.ResultDescription,text,
396,bixby.settingsApp.ResultState,boolean,
397,bixby.settingsApp.PackageName,text,
398,bixby.settingsApp.BoolResult,structure,
399,bixby.settingsApp.TextMenuName,enum,
400,bixby.settingsApp.Result_Value,structure,
401,bixby.settingsApp.GetMobileDataStatus,structure,
402,bixby.settingsApp.SetResult,structure,
403,bixby.settingsApp.NoActionInput,text,
404,bixby.settingsApp.SettingsActionResult,structure,
405,bixby.settingsApp.CandidateUnit,enum,
406,bixby.settingsApp.SecondTimeout,integer,
407,bixby.settingsApp.ScreenTimeOutResult,structure,
408,bixby.settingsApp.ScreenTimeoutMinMax,enum,
409,bixby.settingsApp.SecTimeoutCandiates,structure,
410,bixby.settingsApp.ScreenTimeoutUnit,enum,
411,bixby.settingsApp.SecTimeoutValue,integer,
412,bixby.settingsApp.MuteDurationResult,structure,
413,bixby.settingsApp.MuteDurationHourUnit,enum,
414,bixby.settingsApp.MinuteMuteDuration,integer,
415,bixby.settingsApp.MuteDurationMinuteUnit,enum,
416,bixby.settingsApp.HourMuteDuration,integer,
417,bixby.settingsApp.ScreenZoomType,enum,
418,bixby.settingsApp.WhiteBalanceType,enum,
419,bixby.settingsApp.NumericResult,structure,
420,bixby.settingsApp.NumericSetting,structure,
421,bixby.settingsApp.NumericSettingResult,structure,
422,bixby.settingsApp.TurnSettingType,enum,
423,bixby.settingsApp.NumericDirection,enum,
424,bixby.settingsApp.FontType,enum,
425,bixby.settingsApp.NumericValue,integer,
426,bixby.settingsApp.NumericSettingType,structure,
427,bixby.settingsApp.UserManualText,text,
428,bixby.settingsApp.ScreenResolutionResult,structure,
429,bixby.settingsApp.ScreenResolutionName,enum,
430,bixby.settingsApp.RingerModeResult,structure,
431,bixby.settingsApp.RingerModeName,enum,
432,viv.deviceMaintenanceApp.PerformanceMode,enum,
433,viv.deviceMaintenanceApp.SuccessStatus,boolean,
434,viv.deviceMaintenanceApp.NoActionResult,text,
435,viv.deviceMaintenanceApp.PerformanceModeStatus,structure,
436,viv.deviceMaintenanceApp.Uri,text,
437,viv.deviceMaintenanceApp.PowerSavingStatus,structure,
438,viv.deviceMaintenanceApp.PSMType,enum,
439,viv.deviceMaintenanceApp.Item,enum,
440,viv.deviceMaintenanceApp.ItemStatus,structure,
441,viv.deviceMaintenanceApp.AppLaunchResult,structure,
442,viv.deviceMaintenanceApp.Status,text,
443,viv.systemApp.Uri,text,
444,viv.systemApp.ActionResult,structure,
445,viv.systemApp.Result,text,
446,viv.systemApp.ResultDescription,text,
447,viv.systemApp.IsBixbyCapsuleViewShown,boolean,
448,viv.systemApp.BrightnessPercentage,integer,
449,viv.systemApp.ScrollLevel,enum,
450,viv.systemApp.BrightnessLevel,enum,
451,viv.systemApp.NoActionResult,text,
452,viv.systemApp.PowerOffDevice,enum,
453,viv.systemApp.SetFlashlightResult,structure,
454,viv.systemApp.FlashlightName,enum,
455,viv.systemApp.RebootConfirmation,boolean,viv.core.Confirmation
456,viv.systemApp.SetFlashlightResultCode,enum,
457,viv.systemApp.PowerOffConfirmation,boolean,viv.core.Confirmation
458,viv.systemApp.NotificationContent,text,
459,viv.systemApp.ContentForDisplay,structure,
460,viv.systemApp.NotificationCount,integer,
461,viv.systemApp.NotificationActionResult,structure,viv.systemApp.ActionResult
462,viv.systemApp.PackageName,text,
463,viv.systemApp.InstalledAppInformation,structure,
464,viv.systemApp.ActivityName,text,
465,viv.systemApp.ApplicationName,enum,viv.core.InstalledApplicationName
466,viv.systemApp.SetVolumeResult,structure,
467,viv.systemApp.VolumePercentage,integer,
468,viv.systemApp.PunchoutResult,structure,
469,viv.systemApp.VolumeLevel,integer,
470,viv.systemApp.VolumeLevelType,enum,
471,viv.systemApp.VolumeType,enum,
472,viv.systemApp.SetVolumeResultCode,enum,
473,viv.systemApp.VolumeLevelUnit,enum,
474,viv.systemApp.MediaActionResult,structure,viv.systemApp.ActionResult
475,viv.call.Duo,enum,
476,viv.call.SimState1,boolean,
477,viv.call.Name,text,
478,viv.call.ContactCount,integer,
479,viv.call.CallType,enum,
480,viv.call.CallRecentOrder,enum,
481,viv.call.CallId,integer,
482,viv.call.PhoneNumber,text,viv.contact.PhoneNumber
483,viv.call.SimCard,enum,
484,viv.call.ChangedCalleeName,text,
485,viv.call.Boolean,boolean,
486,viv.call.SimState2,boolean,
487,viv.call.URI,text,
488,viv.call.FormattedPhoneNumber,text,
489,viv.call.Result,enum,
490,viv.call.ResultDescription,text,
491,viv.call.SameDate,boolean,
492,viv.call.CallRecentType,enum,
493,viv.call.PhoneNumberForSpeech,text,
494,viv.call.CallMode,enum,
495,viv.call.UnknownCaller,boolean,
496,viv.call.Date,viv.time.Date,viv.time.Date
497,viv.call.UnblockCallResult,structure,viv.call.ActionResult
498,viv.call.BlockCallResult,structure,viv.call.ActionResult
499,viv.call.CallLogInfo,structure,
500,viv.call.BlockedCall,structure,
501,viv.call.ActionResult,structure,
502,viv.call.MakeCallCondition,structure,
503,viv.call.TimeStampInfo,structure,viv.time.DateTime
504,viv.call.CallingInfo,structure,
505,viv.call.CallingInfo,structure,
506,viv.call.ContactInfo,structure,
507,viv.call.MakeCallResult,structure,
508,viv.common.PositionTopOrBottom,enum,
509,viv.common.ImageFit,enum,
510,viv.common.AspectRatio,enum,
511,viv.common.ColumnAlignment,enum,
512,viv.common.ImageType,enum,
513,viv.common.TextAlignment,enum,
514,viv.common.TextSize,enum,
515,viv.common.ImageShape,enum,
516,viv.common.PositionLeftOrRight,enum,
517,viv.common.Wrap,enum,
518,viv.common.Ordinal,integer,
519,viv.common.Confirmation,boolean,viv.core.Confirmation
522,viv.time.DetachedPeriodHours,decimal,
528,viv.time.KRHoliday,enum,
529,viv.time.RUHoliday,enum,
530,viv.time.CNHoliday,enum,
531,viv.time.DEHoliday,enum,
532,viv.time.ITHoliday,enum,
533,viv.time.USHoliday,enum,
534,viv.time.FRHoliday,enum,
535,viv.time.ARHoliday,enum,
536,viv.time.ESHoliday,enum,
537,viv.time.BRHoliday,enum,
538,viv.time.AmPm,enum,
539,viv.time.TimeZoneId,name,
540,viv.time.CurrentTimeZoneId,name,
541,viv.time.PeriodMonths,decimal,
542,viv.time.DateIntervalPeriodType,enum,
543,viv.time.NamedTime,viv.time.DateTime,
544,viv.time.Count,integer,
545,viv.time.DateTimeIntervalPeriodType,enum,
546,viv.time.AmbiguousNamedDateInterval,enum,
547,viv.time.PeriodSeconds,integer,
548,viv.time.Second,integer,
549,viv.time.HolidayInterval,enum,
550,viv.time.KoreanMinute,enum,
551,viv.time.DecimalTime,decimal,
552,viv.time.DateTimeZone,enum,
