id,date_modified,populated_columns,is_animated,photo_orientation,burst_id,filename_burst_id,burst_is_primary,drm,fingerprint,fingerprint_size,oem_special_type_id,photosphere,video_width,video_height,video_captured_frame_rate,video_encoded_frame_rate,is_vr,is_raw,depth_type,is_microvideo,micro_video_offset,burst_is_extra,micro_video_still_image_timestamp_ms,micro_video_duration_ms,micro_video_metadata,adjusted_exif_date_time,timezone_offset,latitude,longitude,is_long_shot_video,image_width,image_height,video_duration
120,1625509672,34359738366,0,,,,,,"b'\xdc\x19\x8a\xdd,\xe5w-\t\xb8\xa4\xc5T\x86\xcbH\xed\xfcpQ'",744824,,0,,,,,0,0,0,0,,,,,,1625509672000.0,-14400000,,,0,1080.0,2280.0,
121,1625509726,34359738366,0,,,,,,b'\x90_\xa5\xc2Dzj9\x8c\xfe\x14\xec\xcd\x86]0\xf0g\xde\xbe',744861,,0,,,,,0,0,0,0,,,,,,1625509726000.0,-14400000,,,0,1080.0,2280.0,
122,1625509737,34359738366,0,,,,,,b'R\xea?E\xb3E\xba\x91\xb5*\xb6\xe1\xb6F\xffr\xef\xbc\xa3\x07',742424,,0,,,,,0,0,0,0,,,,,,1625509736000.0,-14400000,,,0,1080.0,2280.0,
123,1625509796,34359738366,0,,,,,,b'\xe3\x89\x02\x04/\xfcx5\xb7\x9b-\x86\xb7\xe4;\x15\x0cx+\xdf',737763,,0,,,,,0,0,0,0,,,,,,1625509795000.0,-14400000,,,0,1080.0,2280.0,
124,1625509912,34359738366,0,,,,,,b'\x05\x87\x94[\x18\xd7s!V\xb6\xde\x1a\xa7\x98_0\xeb!0\xed',742964,,0,,,,,0,0,0,0,,,,,,1625509912000.0,-14400000,,,0,1080.0,2280.0,
125,1625510094,34359738366,0,,,,,,"b'\xf2=1,Ah\xe6\x132i\x16B7h1\x1f\x87\xf7\x1e\xe6'",733364,,0,,,,,0,0,0,0,,,,,,1625510094000.0,-14400000,,,0,1080.0,2280.0,
126,1625510119,34359738366,0,,,,,,b'\xa3\xe9\xa3{\xa4#\x1a\x86\xc3M\x1c\xbc8\x01A\xf8\x17\x9a`\xec',735111,,0,,,,,0,0,0,0,,,,,,1625510119000.0,-14400000,,,0,1080.0,2280.0,
127,1625510133,34359738366,0,,,,,,b'\xdc@\xc9\xc7$\xa5\x92\x7f\xdb\xea7{\x17WP\xf3d\xbb\xb1\x16',738618,,0,,,,,0,0,0,0,,,,,,1625510133000.0,-14400000,,,0,1080.0,2280.0,
128,1625699523,34359738366,0,,,,,,"b'Z\xb1\xe8""\x12\xb0\x83\xca\x93\xc5^#\x8dCJ\xe7SM\xc2\xc3'",4597158,,0,,,,,0,0,0,0,,,,,,1625699522000.0,-14400000,37.229528799722225,-80.4188323,0,4032.0,1908.0,
129,1625699524,34359738366,0,,,,,,b'\xf1nX\xc5?\xfe\xb2 0e\xabJ:$\x1c+\x17\xc5\x89g',4434390,,0,,,,,0,0,0,0,,,,,,1625699524000.0,-14400000,37.229528799722225,-80.4188323,0,4032.0,1908.0,
130,1625699535,34359738366,0,,,,,,b'\xa1O\xd1A\xae\\\xe7\xec\xe9f\x9b\xd1\x9d\xf4H\x99\xe4\xd7%\xd4',1955968,,0,,,,,0,0,0,0,,,,,,1625699534000.0,-14400000,37.229528799722225,-80.4188323,0,4032.0,1908.0,
131,1625699640,34359738366,0,,,,,,b'\xd70\xaar\x1d\xb6\x8c\xa1\xb4_\xe0\x01Z\xddW\xe5\x96\x19\xbc\x9d',4378736,,0,,,,,0,0,0,0,,,,,,1625699639000.0,-14400000,37.231272099722226,-80.41827299972223,0,4032.0,1908.0,
132,1625699642,34359738366,0,,,,,,b'\xd7\x0c\x1d=\x9c\x9c]\x06\x1cI\xc9\xf1\xd6Jy\xad\x02\x82W\x05',4778147,,0,,,,,0,0,0,0,,,,,,1625699642000.0,-14400000,37.2305555,-80.41783669972223,0,4032.0,1908.0,
133,1625699652,34359738366,0,,,,,,"b'\xbe\xe7B\xec$\x89\x970T\xa4f\x8c\xde\x87\x86\xcd\xc3""\x8f\xf4'",5170367,,0,,,,,0,0,0,0,,,,,,1625699651000.0,-14400000,37.2303232,-80.41773089972223,0,4032.0,1908.0,
134,1625716090,34359738366,0,,,,,,b'\xb4\xefn\xfcI\x18\xae\xb4\xbd\xfe\x11\xf1\x89*\x0e\xd00\xfa\xa0\x9c',616793,,0,,,,,0,0,0,0,,,,,,1625716089000.0,-14400000,,,0,1080.0,2280.0,
137,1626807814,34359738366,0,,,,,,b'\x9c\xf0\xd4\xae\n\xd0xF\r\x1f\xc6\x9b\x8e\xf3r\xae\xb7\xc9B\xb2',152589241,,0,1080.0,1920.0,30.0,30.0,0,0,0,0,,,,,,,-14400000,37.2249,-80.4159,0,,,70763.0
