id,availMem,cached,running,checkTime
433,3917128,1521977,986078,1624577783044
434,4176604,1199572,1253729,1624593082505
435,3661572,2061432,1122472,1624607699569
436,3901056,1896622,1196833,1624622366289
437,3968700,1627397,1168758,1624637421560
438,4089288,1541573,1228438,1624652778675
439,3550468,1937550,1157220,1624667689151
440,3642472,1986357,1005786,1624682270876
441,3393728,1693622,1674594,1624696944126
442,3578860,1822718,1136375,1624711970479
443,3494900,2273106,854706,1624727272293
444,3634924,1873777,1090655,1624742572231
445,3562356,1896936,1090842,1624757872247
446,3775436,2115424,814929,1624773170968
447,3739604,1941695,814929,1624788470469
448,3510904,1992636,1166749,1624802879123
449,3430728,2105477,1284828,1624817332457
450,3391160,1894346,1332754,1624831971533
451,3412036,2152207,1314321,1624847272289
452,3445488,2033905,1311106,1624862571239
453,3464580,1913931,1311947,1624877871078
454,3445640,2001034,1302444,1624893170531
455,3671076,1863463,1057011,1624908239646
456,3572756,1939318,1042488,1624922871447
457,4419676,1211616,839161,1624937027424
458,5243316,284809,989371,1624951469029
459,4555976,1440774,886302,1624966298512
460,4602724,1338439,795152,1624981183690
461,4658220,1262247,833271,1624995934219
462,4770272,1085382,811020,1625010744818
463,4715728,1070584,952869,1625025296351
464,5023652,1020080,780797,1625040439499
465,4471040,1820503,688953,1625055046427
466,4263316,1535159,924069,1625069436880
467,4261360,1335804,1055192,1625113890876
468,4267632,762991,1383853,1625128914462
469,4086596,1279785,1398532,1625144215548
470,3833724,1531631,1461294,1625158726519
471,3710100,1171273,1531862,1625173193466
472,3701748,1479810,1279529,1625187715199
473,3599980,1625380,1440613,1625202415172
474,3730532,1771298,1088943,1625217415987
475,3753892,1821652,1166258,1625232839216
476,3711944,1954192,1131856,1625248015853
477,3599936,1670796,1511309,1625262415835
478,3546808,1886175,1051744,1625277414253
479,3810676,2103564,963390,1625292415338
480,3912636,1900802,959126,1625307715411
481,3916712,1849440,1011764,1625323015121
482,3770784,2141598,1013272,1625338315151
483,3728032,2317392,1041540,1625353343187
484,3169624,2082624,1203755,1625368070737
485,3339612,1992698,1350735,1625382714609
486,3561168,1944843,1289018,1625398015365
487,3443884,2092169,1362605,1625413315292
488,3537504,2042186,1354721,1625428615206
489,4003548,1594302,1619465,1625508575939
490,3123740,2888973,1115932,1625523231646
491,3216604,2938210,970396,1625537631583
492,3196396,2847825,1143892,1625552331237
493,3836816,1589074,1149743,1625567031644
494,3560516,1901716,1170627,1625581723400
495,3668284,1865983,1068923,1625596127437
496,3908368,1824560,985123,1625610532484
497,3655552,1914587,896940,1625625831376
498,3744936,1675848,1066580,1625641132007
499,3768640,1841273,1037053,1625656431863
500,3699100,1844344,1038279,1625671731779
501,3889488,1789547,983102,1625687031789
502,2938688,2395604,923394,1625701654787
503,3252188,2241407,1255291,1625716103163
504,4172468,1333388,1503885,1625809593662
505,4329152,981267,1147114,1625824285957
506,4045140,1346763,1338845,1625839097870
507,4272956,1209355,1207569,1625853985917
508,3611352,1675660,1343948,1625868804171
509,3580572,1826183,1313034,1625883387027
510,3649508,1600184,1437832,1625898686753
511,3725132,1589087,1340740,1625913985696
