_id,mnoname,apntype,ratpreforder
606,Elisa_FI,xcap,IWLAN:LTE
607,Elisa_FI,cbs,LTE
608,Elisa_FI,emergency,LTE
609,Elisa_FI,default,LTE
610,Elisa_FI,hipri,LTE
611,Elisa_FI,supl,LTE
612,Elisa_FI,dun,LTE
613,Telia_EE,ims,LTE:IWLAN
614,Telia_EE,mms,LTE:IWLAN
615,Telia_EE,xcap,LTE:IWLAN
616,Telia_EE,cbs,LTE
617,Telia_EE,emergency,LTE:IWLAN
618,Telia_EE,default,LTE
619,Telia_EE,hipri,LTE
620,Telia_EE,supl,LTE
621,Telia_EE,dun,LTE
622,Elisa_EE,ims,IWLAN:LTE
623,Elisa_EE,mms,LTE
624,Elisa_EE,xcap,IWLAN:LTE
625,Elisa_EE,cbs,LTE
626,Elisa_EE,emergency,LTE
627,Elisa_EE,default,LTE
628,Elisa_EE,hipri,LTE
629,Elisa_EE,supl,LTE
630,Elisa_EE,dun,LTE
631,DNA_FI,ims,IWLAN:LTE
632,DNA_FI,mms,IWLAN:LTE
633,DNA_FI,xcap,IWLAN:LTE
634,DNA_FI,cbs,LTE
635,DNA_FI,emergency,LTE
636,DNA_FI,default,LTE
637,DNA_FI,hipri,LTE
638,DNA_FI,supl,LTE
639,DNA_FI,dun,LTE
640,Telia_FI,ims,LTE:IWLAN
641,Telia_FI,mms,LTE:IWLAN
642,Telia_FI,xcap,LTE:IWLAN
643,Telia_FI,cbs,LTE
644,Telia_FI,emergency,LTE:IWLAN
645,Telia_FI,default,LTE
646,Telia_FI,hipri,LTE
647,Telia_FI,supl,LTE
648,Telia_FI,dun,LTE
649,MTS_RU,ims,IWLAN
650,MTS_RU,mms,IWLAN:LTE
651,MTS_RU,xcap,IWLAN:LTE
652,MTS_RU,cbs,LTE
653,MTS_RU,emergency,LTE
654,MTS_RU,default,LTE
655,MTS_RU,hipri,LTE
656,MTS_RU,supl,LTE
657,MTS_RU,dun,LTE
658,Megafon_RU,ims,IWLAN:LTE
659,Megafon_RU,mms,LTE
660,Megafon_RU,xcap,LTE
661,Megafon_RU,cbs,LTE
662,Megafon_RU,emergency,LTE
663,Megafon_RU,default,LTE
664,Megafon_RU,hipri,LTE
665,Megafon_RU,supl,LTE
666,Megafon_RU,dun,LTE
667,Sberbank_RU,ims,IWLAN:LTE
668,Sberbank_RU,mms,LTE
669,Sberbank_RU,xcap,LTE
670,Sberbank_RU,cbs,LTE
671,Sberbank_RU,emergency,LTE
672,Sberbank_RU,default,LTE
673,Sberbank_RU,hipri,LTE
674,Sberbank_RU,supl,LTE
675,Sberbank_RU,dun,LTE
676,Tattelecom_RU,ims,IWLAN:LTE
677,Tattelecom_RU,mms,LTE
678,Tattelecom_RU,xcap,IWLAN:LTE
679,Tattelecom_RU,cbs,LTE
680,Tattelecom_RU,emergency,LTE
681,Tattelecom_RU,default,LTE
682,Tattelecom_RU,hipri,LTE
683,Tattelecom_RU,supl,LTE
684,Tattelecom_RU,dun,LTE
685,Motiv_RU,ims,IWLAN:LTE
686,Motiv_RU,mms,IWLAN:LTE
687,Motiv_RU,xcap,IWLAN:LTE
688,Motiv_RU,cbs,LTE
689,Motiv_RU,emergency,LTE
690,Motiv_RU,default,LTE
691,Motiv_RU,hipri,LTE
692,Motiv_RU,supl,LTE
693,Motiv_RU,dun,LTE
694,Velcom_BY,ims,IWLAN:LTE
695,Velcom_BY,mms,LTE
696,Velcom_BY,xcap,IWLAN:LTE
697,Velcom_BY,cbs,LTE
698,Velcom_BY,emergency,LTE
699,Velcom_BY,default,LTE
700,Velcom_BY,hipri,LTE
701,Velcom_BY,supl,LTE
702,Velcom_BY,dun,LTE
703,Beeline_RU,ims,IWLAN:LTE
704,Beeline_RU,mms,LTE
705,Beeline_RU,xcap,IWLAN:LTE
706,Beeline_RU,cbs,LTE
707,Beeline_RU,emergency,LTE
708,Beeline_RU,default,LTE
709,Beeline_RU,hipri,LTE
710,Beeline_RU,supl,LTE
711,Beeline_RU,dun,LTE
712,MTS_AM,ims,IWLAN:LTE
713,MTS_AM,mms,LTE
714,MTS_AM,xcap,IWLAN:LTE
715,MTS_AM,cbs,LTE
716,MTS_AM,emergency,LTE
717,MTS_AM,default,LTE
718,MTS_AM,hipri,LTE
719,MTS_AM,supl,LTE
720,MTS_AM,dun,LTE
721,Vivacom_BG,ims,LTE:IWLAN
