_id,category_id,version,expiry_timestamp,last_update_timestamp,key,value,data_size_bytes
243,5,0,1629822590780,1622046590780,1397530340948955143,b'I0\t\x08\x02j\x137826002073172365286X',27
244,6,0,1629822590781,1622046590781,1397530340948955143,b'1',1
245,5,0,1629822592959,1622046592959,1397370228636590082,b'I0\t\x08\x02j\x137826002073172365296X',27
246,6,0,1629822592962,1622046592962,1397370228636590082,b'1',1
248,2,0,1630549551787,1622773551787,1397518329787584513,b'I1\t\x08\x02j\x131397590831052881920X',27
250,2,0,1630549557427,1622773557427,1397377863393845248,b'I1\t\x08\x02j\x131397590831052881918X',27
252,2,0,1630549551787,1622773551787,1397417213120839681,b'I1\t\x08\x02j\x131397590831052881919X',27
254,2,0,1630549557444,1622773557444,1397529779109187588,b'I1\t\x08\x02j\x131397590831052881917X',27
257,5,0,1629822640485,1622046640485,1397296652516478983,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137826075384338296824X',34
258,6,0,1629822640492,1622046640492,1397296652516478983,b'1',1
289,5,0,1630549549335,1622773549335,1400298562341138434,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137823073474513637373X',34
290,6,0,1630549549358,1622773549358,1400298562341138434,b'1',1
291,5,0,1630549548773,1622773548773,1400587407498612746,b'I0\t\x08\x02j\x137823073474513637353X',27
292,5,0,1630549548777,1622773548777,1400298677533556740,b'I0\t\x08\x02j\x137823073474513637343X',27
293,6,0,1630549548778,1622773548778,1400587407498612746,b'1',1
294,6,0,1630549548779,1622773548779,1400298677533556740,b'1',1
295,5,0,1630549549332,1622773549332,1400587116871143424,b'I0\t\x08\x02j\x137823073474513637353X',27
296,5,0,1630549549336,1622773549336,1400431592972197889,b'I0\t\x08\x02j\x137823073474513637363X',27
297,6,0,1630549549357,1622773549357,1400587116871143424,b'1',1
298,6,0,1630549549359,1622773549359,1400431592972197889,b'1',1
300,2,0,1631115904092,1623339904092,1400474777651982336,b'I1\t\x08\x02j\x131400639910930546688X',27
301,2,0,1630555732674,1622779732674,1400151341616402436,b'I1\t\x08\x02j\x131400639910930546687X',27
302,2,0,1631061640590,1623285640590,1400458773861306378,b'I1\t\x08\x02j\x131400639910930546686X',27
306,5,0,1630549583115,1622773583115,1399817693038100480,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137823554343816675327X',34
307,6,0,1630549583125,1622773583125,1399817693038100480,b'1',1
308,5,0,1630549583111,1622773583111,1399819496010010626,b'I0\t\x08\x02j\x137823554343816675317X',27
309,6,0,1630549583116,1622773583116,1399819496010010626,b'1',1
310,5,0,1630549592895,1622773592895,1399817967521746946,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137823554069333028861X',34
311,6,0,1630549592907,1622773592907,1399817967521746946,b'1',1
312,5,0,1630549622800,1622773622800,1399105314327236612,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137824266722527539195X',34
313,6,0,1630549622804,1622773622804,1399105314327236612,b'1',1
314,5,0,1630549653039,1622773653039,1398827745837260800,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137824544291017515007X',34
315,6,0,1630549653046,1622773653046,1398827745837260800,b'1',1
316,5,0,1630549658417,1622773658417,1398360956976209922,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137825011079878565885X',34
317,6,0,1630549658418,1622773658418,1398360956976209922,b'1',1
318,5,0,1630549667286,1622773667286,1398052201885540370,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137825319834969235437X',34
319,5,0,1630549663990,1622773663990,1398053880148025344,b'I0\t\x08\x02j\x137825319834969235427X',27
320,6,0,1630549667289,1622773667289,1398052201885540370,b'1',1
321,6,0,1630549664010,1622773664010,1398053880148025344,b'1',1
322,5,0,1630549699216,1622773699216,1397984060006359045,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137825387976848416762X',34
323,6,0,1630549699254,1622773699254,1397984060006359045,b'1',1
324,5,0,1630549703049,1622773703049,1397984386348470286,b'I0\t\t\x08\x01\x12\x02\tj\x137825387650506305521j\x010X',34
325,6,0,1630549703066,1622773703066,1397984386348470286,b'1',1
326,5,0,1630549706474,1622773706474,1397958975690358785,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137825413061164417022X',34
327,6,0,1630549706476,1622773706476,1397958975690358785,b'1',1
339,2,0,1631061640006,1623285640006,1347046397124612096,b'I1\t\x08\x02j\x131400639910930546681X',27
340,2,0,1631061753897,1623285753897,1398380721362907136,b'I1\t\x08\x02j\x131400639910930546680X',27
342,2,0,1631061753898,1623285753898,1400095860374085635,b'I1\t\x08\x02j\x131400639910930546685X',27
344,2,0,1631061753897,1623285753897,1399817693038100480,b'I1\t\x08\x02j\x131400639910930546684X',27
345,2,0,1631061753898,1623285753898,1400488881825501187,b'I1\t\x08\x02j\x131400639910930546683X',27
353,5,0,1631115862620,1623339862620,1402370700850040832,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137821001336004734975X',34
354,6,0,1631115862624,1623339862624,1402370700850040832,b'1',1
355,5,0,1631115877888,1623339877888,1402680640479191043,b'I0\t\x08\x02j\x137821001336004734965X',27
356,6,0,1631115877892,1623339877892,1402680640479191043,b'1',1
357,5,0,1631115881757,1623339881757,1402745974368260099,b'I0\t\x08\x02j\x137821001336004734965X',27
358,6,0,1631115881759,1623339881759,1402745974368260099,b'1',1
359,5,0,1631115882131,1623339882131,1402733368748478466,b'I0\t\x08\x02j\x137821001336004734955X',27
360,6,0,1631115882134,1623339882134,1402733368748478466,b'1',1
361,5,0,1631115896652,1623339896652,1402785837264277504,b'I0\t\x08\x02j\x137821001336004734955X',27
362,6,0,1631115896658,1623339896658,1402785837264277504,b'1',1
363,5,0,1631115890518,1623339890518,1402463371048460288,b'I0\t\x08\x02j\x137821001336004734945X',27
364,6,0,1631115890521,1623339890521,1402463371048460288,b'1',1
365,5,0,1631115894483,1623339894483,1402531597589614592,b'I0\t\x08\x02j\x137821001336004734945X',27
366,6,0,1631115894485,1623339894485,1402531597589614592,b'1',1
367,5,0,1631115895955,1623339895955,1402486148799336450,b'I0\t\x08\x02j\x137821001336004734935X',27
368,5,0,1631115895959,1623339895959,1402684601839939586,b'I0\t\x08\x02j\x137821001336004734935X',27
369,5,0,1631115895960,1623339895960,1402594327570878466,b'I0\t\x08\x02j\x137821001336004734925X',27
370,5,0,1631115895961,1623339895961,1402579910414176256,b'I0\t\x08\x02j\x137821001336004734915X',27
371,6,0,1631115895963,1623339895963,1402486148799336450,b'1',1
372,6,0,1631115895964,1623339895964,1402684601839939586,b'1',1
373,6,0,1631115895966,1623339895966,1402594327570878466,b'1',1
374,6,0,1631115895967,1623339895967,1402579910414176256,b'1',1
375,5,0,1631115896655,1623339896655,1402389088020402177,b'I0\t\x08\x02j\x137821001336004734895X',27
376,5,0,1631115896656,1623339896656,1402750392040136711,b'I0\t\x08\x02j\x137821001336004734885X',27
377,6,0,1631115896658,1623339896658,1402389088020402177,b'1',1
378,6,0,1631115896659,1623339896659,1402750392040136711,b'1',1
379,5,0,1631115898206,1623339898206,1402631042222206992,b'I0\t\x08\x02j\x137821001336004734845X',27
380,5,0,1631115898211,1623339898211,1402482301997510661,b'I0\t\x08\x02j\x137821001336004734835X',27
381,5,0,1631115898212,1623339898212,1402614511304155148,b'I0\t\x08\x02j\x137821001336004734845X',27
382,6,0,1631115898218,1623339898218,1402631042222206992,b'1',1
383,6,0,1631115898224,1623339898224,1402482301997510661,b'1',1
384,6,0,1631115898226,1623339898226,1402614511304155148,b'1',1
385,2,0,1631115964197,1623339964197,1400603554641899525,b'I1\t\x08\x02j\x131400640569868287998X',27
386,2,0,1631115964197,1623339964197,1400319265794887681,b'I1\t\x08\x02j\x131400640569868287998X',27
389,2,0,1631115964196,1623339964196,1400156849068986370,b'I1\t\x08\x02j\x131403015347979681791X',27
390,2,0,1631115964197,1623339964197,1402877345560662018,b'I1\t\x08\x02j\x131403015347979681790X',27
391,2,0,1631115964197,1623339964197,1402994918813929475,b'I1\t\x08\x02j\x131403015347979681789X',27
396,5,0,1631115924512,1623339924512,1402015570099326984,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137821356466755448823X',34
397,6,0,1631115924518,1623339924518,1402015570099326984,b'1',1
398,5,0,1631115924516,1623339924516,1402017221895917570,b'I0\t\x08\x02j\x137821356466755448813X',27
399,6,0,1631115924519,1623339924519,1402017221895917570,b'1',1
400,2,0,1631412867145,1623636867145,1402642116208168965,b'I1\t\x08\x02j\x131403015347979681786X',27
401,2,0,1631412865611,1623636865611,1402800910728761345,b'I1\t\x08\x02j\x131403015347979681786X',27
402,2,0,1631412865609,1623636865609,1402754285901864960,b'I1\t\x08\x02j\x131403015347979681787X',27
407,5,0,1631115941574,1623339941574,1402019965125939203,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137821352071728836604X',34
408,6,0,1631115941584,1623339941584,1402019965125939203,b'1',1
410,5,0,1631115953614,1623339953614,1402037799478611968,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137821334237376163839X',34
411,6,0,1631115953616,1623339953616,1402037799478611968,b'1',1
413,5,0,1631115962533,1623339962533,1401926060577599493,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137821445976277176314X',34
414,6,0,1631115962535,1623339962535,1401926060577599493,b'1',1
418,5,0,1631115969441,1623339969441,1401768611585216514,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137821603425269559293X',34
419,6,0,1631115969446,1623339969446,1401768611585216514,b'1',1
429,5,0,1631116048101,1623340048101,1402380478607507460,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137820991558247268347X',34
430,6,0,1631116048106,1623340048106,1402380478607507460,b'1',1
433,5,0,1631246587529,1623470587529,1403515989044641799,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137819856047810134008X',34
434,6,0,1631246587539,1623470587539,1403515989044641799,b'1',1
435,5,0,1631246587532,1623470587532,1403524538386812930,b'I0\t\x08\x02j\x137819856047810133988X',27
